assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level
GCF_001998175.1,ASM199817v1,Mycobacterium tuberculosis TRS12 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/175/GCF_001998175.1_ASM199817v1,SAMN02837632,,
GCF_001998145.1,ASM199814v1,Mycobacterium tuberculosis TRS14 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/145/GCF_001998145.1_ASM199814v1,SAMN02837634,,
GCF_001998105.1,ASM199810v1,Mycobacterium tuberculosis TRS23 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/105/GCF_001998105.1_ASM199810v1,SAMN02837643,,
GCF_001998075.1,ASM199807v1,Mycobacterium tuberculosis TRS5 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/075/GCF_001998075.1_ASM199807v1,SAMN02837625,,
GCF_001998025.1,ASM199802v1,Mycobacterium tuberculosis TRS7 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/025/GCF_001998025.1_ASM199802v1,SAMN02837627,,
GCF_001997975.1,ASM199797v1,Mycobacterium tuberculosis TRS19 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/975/GCF_001997975.1_ASM199797v1,SAMN02837639,,
GCF_001997935.1,ASM199793v1,Mycobacterium tuberculosis TRS21 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/935/GCF_001997935.1_ASM199793v1,SAMN02837641,,
GCF_001997885.1,ASM199788v1,Mycobacterium tuberculosis TRS13 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/885/GCF_001997885.1_ASM199788v1,SAMN02837633,,
GCF_001997805.1,ASM199780v1,Mycobacterium tuberculosis TRS20 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/805/GCF_001997805.1_ASM199780v1,SAMN02837640,,
GCF_001997775.1,ASM199777v1,Mycobacterium tuberculosis TRS17 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/775/GCF_001997775.1_ASM199777v1,SAMN02837637,,
GCF_001997725.1,ASM199772v1,Mycobacterium tuberculosis TRS16 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/725/GCF_001997725.1_ASM199772v1,SAMN02837636,,
GCF_001997695.1,ASM199769v1,Mycobacterium tuberculosis TRS1 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/695/GCF_001997695.1_ASM199769v1,SAMN02837622,,
GCF_001997665.1,ASM199766v1,Mycobacterium tuberculosis 1821ADB45 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/665/GCF_001997665.1_ASM199766v1,SAMN02837658,,
GCF_001997625.1,ASM199762v1,Mycobacterium tuberculosis 1821ADB44 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/625/GCF_001997625.1_ASM199762v1,SAMN02837657,,
GCF_001997605.1,ASM199760v1,Mycobacterium tuberculosis 1821ADB42 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/605/GCF_001997605.1_ASM199760v1,SAMN02837656,,
GCF_001997585.1,ASM199758v1,Mycobacterium tuberculosis 1821ADB41 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/585/GCF_001997585.1_ASM199758v1,SAMN02837655,,
GCF_001997565.1,ASM199756v1,Mycobacterium tuberculosis 1821ADB40 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/565/GCF_001997565.1_ASM199756v1,SAMN02837654,,
GCF_001997545.1,ASM199754v1,Mycobacterium tuberculosis 1821ADB38 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/545/GCF_001997545.1_ASM199754v1,SAMN02837653,,
GCF_001997525.1,ASM199752v1,Mycobacterium tuberculosis 1821ADB37 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/525/GCF_001997525.1_ASM199752v1,SAMN02837652,,
GCF_001997495.1,ASM199749v1,Mycobacterium tuberculosis 1821ADB36 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/495/GCF_001997495.1_ASM199749v1,SAMN02837651,,
GCF_001997465.1,ASM199746v1,Mycobacterium tuberculosis 1821ADB35 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/465/GCF_001997465.1_ASM199746v1,SAMN02837650,,
GCF_001997425.1,ASM199742v1,Mycobacterium tuberculosis TRS9 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/425/GCF_001997425.1_ASM199742v1,SAMN02837629,,
GCF_001941665.1,ASM194166v1,Mycobacterium tuberculosis variant caprae (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/665/GCF_001941665.1_ASM194166v1,SAMN05257278,,
GCF_001593225.1,ASM159322v1,Mycobacterium tuberculosis variant africanum (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/225/GCF_001593225.1_ASM159322v1,SAMN04479830,,
GCF_001584745.1,ASM158474v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/584/745/GCF_001584745.1_ASM158474v1,SAMN03290700,,
GCF_000220455.1,ASM22045v1,Mycobacterium tuberculosis BTB05-559 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/455/GCF_000220455.1_ASM22045v1,SAMN02472033,,
GCF_000220435.1,ASM22043v1,Mycobacterium tuberculosis BTB05-552 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/435/GCF_000220435.1_ASM22043v1,SAMN02472041,,
GCF_000220415.1,ASM22041v1,Mycobacterium tuberculosis S96-129 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/415/GCF_000220415.1_ASM22041v1,SAMN02472040,,
GCF_000184045.1,ASM18404v1,Mycobacterium tuberculosis R1207 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/045/GCF_000184045.1_ASM18404v1,SAMN02471041,,
GCF_000184025.1,ASM18402v1,Mycobacterium tuberculosis X122 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/025/GCF_000184025.1_ASM18402v1,SAMN02471089,,
GCF_000184005.1,ASM18400v1,Mycobacterium tuberculosis HN878 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/005/GCF_000184005.1_ASM18400v1,SAMN02471088,,
GCF_000263135.1,H37RvCO4,Mycobacterium tuberculosis H37RvCO (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/135/GCF_000263135.1_H37RvCO4,SAMN02471106,,
GCF_001293105.1,ASM129310v1,Mycobacterium tuberculosis variant bovis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/105/GCF_001293105.1_ASM129310v1,SAMN03658568,,
GCF_000304555.1,Mt_UT205,Mycobacterium tuberculosis UT205 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/555/GCF_000304555.1_Mt_UT205,SAMEA2272432,,
GCF_000934585.1,ASM93458v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/585/GCF_000934585.1_ASM93458v1,SAMN03290698,,
GCF_000835125.1,ASM83512v1,Mycobacterium tuberculosis 18b (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/125/GCF_000835125.1_ASM83512v1,SAMN02595073,,
GCF_000162995.1,ASM16299v1,Mycobacterium tuberculosis KZN V2475 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/995/GCF_000162995.1_ASM16299v1,SAMN02471090,,
GCF_000751615.1,H37RvMA2,Mycobacterium tuberculosis H37RvMA (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/615/GCF_000751615.1_H37RvMA2,SAMN03020719,,
GCF_000751475.1,H37RvLPb,Mycobacterium tuberculosis H37RvLP (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/475/GCF_000751475.1_H37RvLPb,SAMN03020718,,
GCF_000746805.1,H37RvAE4,Mycobacterium tuberculosis H37RvAE (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/805/GCF_000746805.1_H37RvAE4,SAMN03013397,,
GCA_000736275.1,ASM73627v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911574,,
GCF_000736255.1,ASM73625v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/736/255/GCF_000736255.1_ASM73625v1,SAMN02911573,,
GCF_000736235.1,ASM73623v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/736/235/GCF_000736235.1_ASM73623v1,SAMN02911572,,
GCA_000736215.1,ASM73621v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911570,,
GCA_000736195.1,ASM73619v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911569,,
GCA_000736175.1,ASM73617v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911571,,
GCA_000736155.1,ASM73615v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911568,,
GCA_000736135.1,ASM73613v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911567,,
GCA_000736115.1,ASM73611v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN02911566,,
GCF_000648395.1,VRF CWCF MDR 670,Mycobacterium tuberculosis CWCFVRF MDRTB 670 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/395/GCF_000648395.1_VRF_CWCF_MDR_670,SAMN02630624,,
GCF_000023625.1,ASM2362v1,Mycobacterium tuberculosis KZN 1435 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/625/GCF_000023625.1_ASM2362v1,SAMN00763683,,
