assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level
GCF_020684365.1,ASM2068436v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/365/GCF_020684365.1_ASM2068436v1,SAMN21593463,,
GCF_020684345.1,ASM2068434v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/345/GCF_020684345.1_ASM2068434v1,SAMN21593462,,
GCF_020684325.1,ASM2068432v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/325/GCF_020684325.1_ASM2068432v1,SAMN21593461,,
GCF_020684305.1,ASM2068430v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/305/GCF_020684305.1_ASM2068430v1,SAMN21593460,,
GCF_020684285.1,ASM2068428v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/285/GCF_020684285.1_ASM2068428v1,SAMN21593459,,
GCF_020684265.1,ASM2068426v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/265/GCF_020684265.1_ASM2068426v1,SAMN21593458,,
GCF_020684245.1,ASM2068424v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/245/GCF_020684245.1_ASM2068424v1,SAMN21593457,,
GCF_020684225.1,ASM2068422v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/225/GCF_020684225.1_ASM2068422v1,SAMN21593456,,
GCF_020684205.1,ASM2068420v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/205/GCF_020684205.1_ASM2068420v1,SAMN21593455,,
GCF_020684185.1,ASM2068418v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/185/GCF_020684185.1_ASM2068418v1,SAMN21593454,,
GCF_020684165.1,ASM2068416v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/165/GCF_020684165.1_ASM2068416v1,SAMN21593453,,
GCF_020684145.1,ASM2068414v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/145/GCF_020684145.1_ASM2068414v1,SAMN21593452,,
GCF_020684125.1,ASM2068412v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/125/GCF_020684125.1_ASM2068412v1,SAMN21593451,,
GCF_020684105.1,ASM2068410v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/105/GCF_020684105.1_ASM2068410v1,SAMN21593450,,
GCF_020684085.1,ASM2068408v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/085/GCF_020684085.1_ASM2068408v1,SAMN21593448,,
GCF_020684065.1,ASM2068406v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/065/GCF_020684065.1_ASM2068406v1,SAMN21593447,,
GCF_020684045.1,ASM2068404v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/045/GCF_020684045.1_ASM2068404v1,SAMN21593446,,
GCF_020684025.1,ASM2068402v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/025/GCF_020684025.1_ASM2068402v1,SAMN21593445,,
GCF_020684005.1,ASM2068400v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/684/005/GCF_020684005.1_ASM2068400v1,SAMN21593444,,
GCF_020683985.1,ASM2068398v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/985/GCF_020683985.1_ASM2068398v1,SAMN21593443,,
GCF_020683965.1,ASM2068396v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/965/GCF_020683965.1_ASM2068396v1,SAMN21593442,,
GCF_020683945.1,ASM2068394v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/945/GCF_020683945.1_ASM2068394v1,SAMN21593441,,
GCF_020683925.1,ASM2068392v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/925/GCF_020683925.1_ASM2068392v1,SAMN21593440,,
GCF_020683905.1,ASM2068390v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/905/GCF_020683905.1_ASM2068390v1,SAMN21593439,,
GCF_020683885.1,ASM2068388v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/885/GCF_020683885.1_ASM2068388v1,SAMN21593438,,
GCF_020683865.1,ASM2068386v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/865/GCF_020683865.1_ASM2068386v1,SAMN21593437,,
GCF_020683845.1,ASM2068384v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/845/GCF_020683845.1_ASM2068384v1,SAMN21593436,,
GCF_020683825.1,ASM2068382v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/825/GCF_020683825.1_ASM2068382v1,SAMN21593435,,
GCF_020683805.1,ASM2068380v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/805/GCF_020683805.1_ASM2068380v1,SAMN21593434,,
