uid,assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level,submitter
81015218,GCF_054791035.1,ASM5479103v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/791/035/GCF_054791035.1_ASM5479103v1,SAMN50582496,,,South African Medical Research Council
80385898,GCF_977011435.1,K49KI114,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/435/GCF_977011435.1_K49KI114,SAMEA120393849,,,the seqafrica consortium
80385718,GCF_977011415.1,K38X0273,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/415/GCF_977011415.1_K38X0273,SAMEA120393843,,,the seqafrica consortium
17920811,GCA_030573855.1,ASM3057385v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419366,,,Ministry of Health
75499668,GCF_051294265.1,ASM5129426v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/265/GCF_051294265.1_ASM5129426v1,SAMN48739310,,,Texas A&M University
17920941,GCA_030574035.1,ASM3057403v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419365,,,Ministry of Health
19445991,GCF_033126485.1,ASM3312648v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/126/485/GCF_033126485.1_ASM3312648v1,SAMN28021339,,,Medical Life Sciences Institute
70215498,GCF_965124535.1,WBB447,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/124/535/GCF_965124535.1_WBB447,SAMEA104606031,,,LSHTM
80385618,GCF_977011325.1,K57TAT138,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/325/GCF_977011325.1_K57TAT138,SAMEA120393857,,,the seqafrica consortium
55825268,GCF_963993275.1,ASM_P073-N1394,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/275/GCF_963993275.1_ASM_P073-N1394,SAMEA115401576,,,Swiss Tropical and Public Health Institute
75499808,GCF_051294335.1,ASM5129433v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/335/GCF_051294335.1_ASM5129433v1,SAMN48739302,,,Texas A&M University
82876828,GCF_982191705.1,A2018772,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/982/191/705/GCF_982191705.1_A2018772,SAMEA121923106,,,Zhejiang Provincial Center for Disease Control and Prevention
60167628,GCF_038096075.2,ASM3809607v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/096/075/GCF_038096075.2_ASM3809607v1,SAMN40622784,,,Korea National Institute of Health
17921871,GCA_030575535.1,ASM3057553v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419357,,,Ministry of Health
80385818,GCF_977011405.1,K39T0596,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/405/GCF_977011405.1_K39T0596,SAMEA120393844,,,the seqafrica consortium
55825388,GCF_963993245.1,ASM_P022-N1431,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/245/GCF_963993245.1_ASM_P022-N1431,SAMEA115401569,,,Swiss Tropical and Public Health Institute
17921291,GCA_030574615.1,ASM3057461v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419362,,,Ministry of Health
70456528,GCF_047782915.1,ASM4778291v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN46723456,,,San Diego State University
75500248,GCF_051294555.1,ASM5129455v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/555/GCF_051294555.1_ASM5129455v1,SAMN48739295,,,Texas A&M University
69171008,GCF_047111155.1,ASM4711115v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/111/155/GCF_047111155.1_ASM4711115v1,SAMN41592673,,,Korea National Institute of Health
57640888,GCF_038955375.1,MTBCR170913 - 1.1.1.7 hybrid assembly,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/955/375/GCF_038955375.1_MTBCR170913_-_1.1.1.7_hybrid_assembly,SAMN41068413,,,Medical Life Sciences Institute
