precision,recall
1.0,0.0
1.0,0.002
1.0,0.004
1.0,0.006
1.0,0.008
1.0,0.01
1.0,0.012
1.0,0.014
1.0,0.016
1.0,0.018000000000000002
1.0,0.02
1.0,0.022
1.0,0.024
1.0,0.026000000000000002
1.0,0.028
1.0,0.03
1.0,0.032
1.0,0.034
1.0,0.036000000000000004
1.0,0.038
1.0,0.04
1.0,0.042
1.0,0.044
1.0,0.046
1.0,0.048
1.0,0.05
1.0,0.052000000000000005
1.0,0.054
1.0,0.056
1.0,0.058
1.0,0.06
1.0,0.062
1.0,0.064
1.0,0.066
1.0,0.068
1.0,0.07
1.0,0.07200000000000001
1.0,0.074
1.0,0.076
1.0,0.078
1.0,0.08
1.0,0.082
1.0,0.084
1.0,0.08600000000000001
1.0,0.088
1.0,0.09
1.0,0.092
1.0,0.094
1.0,0.096
1.0,0.098
1.0,0.1
1.0,0.10200000000000001
1.0,0.10400000000000001
1.0,0.106
1.0,0.108
1.0,0.11
1.0,0.112
1.0,0.114
1.0,0.116
1.0,0.11800000000000001
1.0,0.12
1.0,0.122
1.0,0.124
0.8,0.126
0.8,0.128
0.8,0.13
0.8,0.132
0.8,0.134
0.8,0.136
0.8,0.138
0.8,0.14
0.8,0.14200000000000002
0.8,0.14400000000000002
0.8,0.146
0.8,0.148
0.8,0.15
0.8,0.152
0.8,0.154
0.8,0.156
0.8,0.158
0.8,0.16
0.8,0.162
0.8,0.164
0.8,0.166
0.8,0.168
0.8,0.17
0.8,0.17200000000000001
0.8,0.17400000000000002
0.8,0.176
0.8,0.178
0.8,0.18
0.8,0.182
0.8,0.184
0.8,0.186
0.8,0.188
0.8,0.19
0.8,0.192
0.8,0.194
0.8,0.196
0.8,0.198
0.8,0.2
0.8,0.202
0.8,0.20400000000000001
0.8,0.20600000000000002
0.8,0.20800000000000002
0.8,0.21
0.8,0.212
0.8,0.214
0.8,0.216
0.8,0.218
0.8,0.22
0.8,0.222
0.8,0.224
0.8,0.226
0.8,0.228
0.8,0.23
0.8,0.232
0.8,0.234
0.8,0.23600000000000002
0.8,0.23800000000000002
0.8,0.24
0.8,0.242
0.8,0.244
0.8,0.246
0.8,0.248
0.8,0.25
0.75,0.252
0.75,0.254
0.75,0.256
0.75,0.258
0.75,0.26
0.75,0.262
0.75,0.264
0.75,0.266
0.75,0.268
0.75,0.27
0.75,0.272
0.75,0.274
0.75,0.276
0.75,0.278
0.75,0.28
0.6666666666666666,0.28200000000000003
0.6666666666666666,0.28400000000000003
0.6666666666666666,0.28600000000000003
0.6666666666666666,0.28800000000000003
0.6666666666666666,0.29
0.6666666666666666,0.292
0.6666666666666666,0.294
0.6666666666666666,0.296
0.6666666666666666,0.298
0.6666666666666666,0.3
0.6666666666666666,0.302
0.6666666666666666,0.304
0.6666666666666666,0.306
0.6666666666666666,0.308
0.6666666666666666,0.31
0.6666666666666666,0.312
0.5652173913043478,0.314
0.5652173913043478,0.316
0.5652173913043478,0.318
0.5652173913043478,0.32
0.5652173913043478,0.322
0.5652173913043478,0.324
0.5652173913043478,0.326
0.5652173913043478,0.328
0.5652173913043478,0.33
0.5652173913043478,0.332
0.5652173913043478,0.334
0.5652173913043478,0.336
0.5652173913043478,0.338
0.5652173913043478,0.34
0.5652173913043478,0.342
0.5652173913043478,0.34400000000000003
0.5652173913043478,0.34600000000000003
0.5652173913043478,0.34800000000000003
0.5652173913043478,0.35000000000000003
0.5652173913043478,0.352
0.5652173913043478,0.354
0.5652173913043478,0.356
0.5652173913043478,0.358
0.5652173913043478,0.36
0.5652173913043478,0.362
0.5652173913043478,0.364
0.5652173913043478,0.366
0.5652173913043478,0.368
0.5652173913043478,0.37
0.5652173913043478,0.372
0.5652173913043478,0.374
0.5652173913043478,0.376
